,StationCode,Station,StationName,Latitude,Longitude,HUC12,HUCName,County,State,Organization
0,AACC.AR,,AR,38.94934,-76.46491,20600040203,Severn River-Frontal Chesapeake Bay,Anne Arundel County,MD,1
1,AACC.BA,,BA,38.96223,-76.47287,20600040203,Severn River-Frontal Chesapeake Bay,Anne Arundel County,MD,1
2,AACC.BF,,BF,39.10079,-76.53123000000002,20600040101,Cattail Creek-Magothy River,Anne Arundel County,MD,1
3,AACC.BO,,BO,39.08204,-76.61105,20600040202,Round Bay-Severn River,Anne Arundel County,MD,1
4,AACC.CMH,,CMH,39.072179999999996,-76.58113,20600040202,Round Bay-Severn River,Anne Arundel County,MD,1
5,AACC.CMS,,CMS,39.07318,-76.58629,20600040202,Round Bay-Severn River,Anne Arundel County,MD,1
6,AACC.CY,,CY,39.072340000000004,-76.52624,20600040101,Cattail Creek-Magothy River,Anne Arundel County,MD,1
7,AACC.HH,,HH,39.048120000000004,-76.56798,20600040202,Round Bay-Severn River,Anne Arundel County,MD,1
8,AACC.LC,,LC,39.00277,-76.50905999999998,20600040203,Severn River-Frontal Chesapeake Bay,Anne Arundel County,MD,1
9,AACC.LO,,LO,39.06629,-76.49624,20600040102,Sillery Bay-Frontal Chesapeake Bay,Anne Arundel County,MD,1
10,AACC.LP,,LP,39.001,-76.51032,20600040203,Severn River-Frontal Chesapeake Bay,Anne Arundel County,MD,1
11,AACC.LPT,,LPT,39.04889,-76.56472,20600040202,Round Bay-Severn River,Anne Arundel County,MD,1
12,AACC.MB,,MB,39.07009,-76.51555,20600040101,Cattail Creek-Magothy River,Anne Arundel County,MD,1
13,AACC.OH,,OH,38.92649,-76.46361,20600040203,Severn River-Frontal Chesapeake Bay,Anne Arundel County,MD,1
14,AACC.SA,,SA,39.01715,-76.54195,20600040203,Severn River-Frontal Chesapeake Bay,Anne Arundel County,MD,1
15,ACB.19,,19,37.1796,-76.4425,20801080101,Poquoson River-Frontal Chesapeake Bay,York County,VA,1
16,ACB.35,,35,37.5246,-77.4686,20802050607,Little Westham Creek-James River,Richmond city,VA,1
17,ACB.53,,53,37.5604,-77.5453,20802050607,Little Westham Creek-James River,Richmond city,VA,1
18,ACB.6,,6,38.3473,-77.5822,20801040101,Motts Run Reservoir-Rappahannock River,Stafford County,VA,1
19,ACB.A1,,A1,38.470659999999995,-77.38551700000002,20700110203,Lower Aquia Creek,Stafford County,VA,1
20,ACB.A2,,A2,38.457625,-77.382565,20700110203,Lower Aquia Creek,Stafford County,VA,1
21,ACB.A3,,A3,38.445705,-77.379232,20700110203,Lower Aquia Creek,Stafford County,VA,1
22,ACB.A4,,A4,38.464202,-77.38735770000002,20700110203,Lower Aquia Creek,Stafford County,VA,1
